epoch,batch,loss,acc,lr
1,200,1.38618,24.00,0.000100
1,400,1.36933,31.00,0.000100
1,600,1.36225,32.00,0.000100
1,800,1.33810,34.00,0.000100
1,1000,1.25339,41.00,0.000100
1,1200,1.16246,46.00,0.000100
